episod,total_reward
319,14.546025064973442
320,14.540348283529237
321,14.548756037768733
322,14.551802837264209
323,14.543112578829133
324,14.544066369575665
325,14.544593496837035
326,14.545780107030861
327,14.549084322317352
328,14.549003054686844
329,14.539585124015757
330,14.546968470796354
331,14.548675300129217
332,14.545871367306974
333,14.544830730314391
334,14.541517258633542
335,14.545188229196752
336,14.543702802174781
337,14.54038802767261
338,14.53603091553842
339,14.538464640610847
340,14.540066892950069
341,14.552175030085488
342,14.54985589725465
343,14.54354250424307
344,14.543021296028648
345,14.545151399569539
346,14.542657713507584
347,14.540567200983062
348,14.548745691109543
349,14.542407949161314
350,14.543027379231019
351,14.541525644062581
352,14.549171002397497
353,14.54899406576004
354,14.5402701543954
355,14.538932312493602
356,14.54742235511791
357,14.546207356797554
358,14.542826703192056
359,14.54505469957597
360,14.545854213565686
361,14.549723370496926
362,14.549741732678472
363,14.54575372375927
364,14.548755612981111
365,14.5436207137849
366,14.542276756908032
367,14.545107287647381
368,14.547702478949416
369,14.542873002027559
370,14.547330570567127
371,14.547478311194032
372,14.550145019398236
373,14.542400613630866
374,14.543770112021974
375,14.544557830219503
376,14.542004882406825
377,14.548016118043531
378,14.54053400316226
379,14.543287041548547
380,14.54397744182447
381,14.551162442827446
382,14.545204144366458
383,14.550698597214597
384,14.54544413174484
385,14.551382437665138
386,14.546193324579223
387,14.54468463349626
388,14.54767226965102
389,14.548113568980153
390,14.542292865335058
391,14.548887631463412
392,14.54839395441901
393,14.54983863490667
394,14.54118597766206
395,14.53700183938522
396,14.543604346559391
397,14.540887865794911
398,14.541279033842073
399,14.536666772679293
400,14.545960943310352
401,14.548309131329209
402,14.545088344639442
403,14.543065692347547
404,14.54145865863515
405,14.548004380270916
406,14.549627029252035
407,14.547522094449636
408,14.537278045407636
409,14.542094959225398
410,14.54941018844959
411,14.549979998312104
412,14.543809839813987
413,14.546654308613025
414,14.542158937635499
415,14.539825872846015
416,14.54815669713148
417,14.542922605733548
418,14.55050759241029
419,14.543898469166
420,14.540868413886395
421,14.538050209091043
422,14.541105602919856
423,14.546360896805867
424,14.541470633188025
425,14.54908576149995
426,14.53706876677732
427,14.543145181001236
428,14.548925394025222
429,14.547966137442673
430,14.545949520360587
431,14.540657315171481
432,14.54325503207898
433,14.545582196953395
434,14.543606288499236
435,14.539036507994838
436,14.543488147202812
437,14.541439306205481
438,14.538623541307269
439,14.539326488739519
440,14.543011562255268
441,14.54435848198392
442,14.546746659450584
443,14.533916544169005
444,14.547282745906148
445,14.546270831384511
446,14.543104272070885
447,14.54399633787137
448,14.542145481875316
449,14.541599459703956
450,14.542246432931504
451,14.541722313052649
452,14.542394845142464
453,14.537945690895075
454,14.541805372666495
455,14.546154713535016
456,14.544203355965362
457,14.544907800817985
458,14.541518965952601
459,14.544517475900026
460,14.546522227537416
461,14.538857142256205
462,14.547320723016275
463,14.543133600739186
464,14.540821084428615
465,14.537097866658426
466,14.546772228858693
467,14.541631284331997
468,14.544278628320106
469,14.53827414003306
470,14.544557481388956
471,14.541747823863206
472,14.546651929925613
473,14.540615563194628
474,14.547675973862162
475,14.549986894769841
476,14.552380912352511
477,14.539285265840228
478,14.541067931439471
479,14.538963359889046
480,14.540670460066286
481,14.548998654143322
482,14.545775241166787
483,14.543180309344395
484,14.541526562549546
485,14.54809875216204
486,14.542968105839758
487,14.541349455252426
488,14.546760779663307
489,14.544655410671593
490,14.548513624767867
491,14.544195917633088
492,14.539622394733847
493,14.544830102407843
494,14.536925861559538
495,14.550430784033829
496,14.543094442348462
497,14.538894515630693
498,14.541407191391231
499,14.539243398572053
500,14.540307759154256
501,14.542098317215586
502,14.546308217555799
503,14.549553901192647
504,14.544354060211397
505,14.54895854629812
506,14.542482575697292
507,14.54257015998368
508,14.544414200455787
509,14.54372075053545
510,14.5384145555254
511,14.539824653743723
512,14.544395281452989
513,14.546826671789702
514,14.547542797546045
515,14.543000756260078
516,14.545657582477299
517,14.54268387654184
518,14.548811121798806
519,14.54704269368469
520,14.550205356449649
521,14.546386589525573
522,14.539374667117192
523,14.54186808956188
524,14.539363230299186
525,14.540856843268362
526,14.546003276673314
527,14.544507502823365
528,14.54504173948294
529,14.543362870466652
530,14.538286508115492
531,14.54123968517023
532,14.543690324278103
533,14.549249837006757
534,14.54760101218145
535,14.544700015472898
536,14.537717480698483
537,14.540468494765006
538,14.547681021473482
539,14.54960487036759
540,14.548519149517787
541,14.531315532980578
542,14.54635922013655
543,14.540385808036945
544,14.54805517890523
545,14.546034314608326
546,14.540848835215053
547,14.540606419116788
548,14.541210113741304
549,14.544149383452433
550,14.54369476313994
551,14.549351984227425
552,14.540719797170425
553,14.541085152081969
554,14.543810946384
555,14.544133423743506
556,14.55133348810184
557,14.548987316800876
558,14.538907309113291
559,14.543094121769435
560,14.538795115468991
561,14.54154313522814
562,14.533952854689137
563,14.540524322908563
564,14.54518564345198
565,14.542163067332375
566,14.543117909600864
567,14.541335125404935
568,14.549635620305304
569,14.538626459105615
570,14.549007340223246
571,14.543262379497568
572,14.539783597080676
573,14.54479635403657
574,14.5386046066453
575,14.542956386016034
576,14.54939680555328
577,14.537699811516685
578,14.539759610686867
579,14.54581086800308
580,14.544992293970243
581,14.540285573259538
